"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance","Description","Notes"
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution ALFL Current.tif","Bird: Alder Flycatcher","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMBI Current.tif","Bird: American Bittern","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMCO Current.tif","Bird: American Coot","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMCR Current.tif","Bird: American Crow","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMDI Current.tif","Bird: American Dipper","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMGO Current.tif","Bird: American Goldfinch","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMKE Current.tif","Bird: American Kestrel","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMPI Current.tif","Bird: American Pipit","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMRE Current.tif","Bird: American Redstart","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMRO Current.tif","Bird: American Robin","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution AMWI Current.tif","Bird: American Wigeon","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution ANHU Current.tif","Bird: Anna's Hummingbird","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution ARTE Current.tif","Bird: Arctic Tern","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution ATSP Current.tif","Bird: American Tree Sparrow","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution ATTW Current.tif","Bird: American Three-toed Woodpecker","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BAEA Current.tif","Bird: Bald Eagle","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BAGO Current.tif","Bird: Barrow's Goldeneye","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BAWW Current.tif","Bird: Black-and-white Warbler","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BBMA Current.tif","Bird: Black-billed Magpie","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BBWO Current.tif","Bird: Black-backed Woodpecker","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BCCH Current.tif","Bird: Black-capped Chickadee","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BCHU Current.tif","Bird: Black-chinned Hummingbird","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BEKI Current.tif","Bird: Belted Kingfisher","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BEWR Current.tif","Bird: Bewick's Wren","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BHCO Current.tif","Bird: Brown-headed Cowbird","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BHGR Current.tif","Bird: Black-headed Grosbeak","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BHVI Current.tif","Bird: Blue-headed Vireo","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BLJA Current.tif","Bird: Blue Jay","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BLOY Current.tif","Bird: Black Oystercatcher","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BLSW Current.tif","Bird: Black Swift","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BLTE Current.tif","Bird: Black Tern","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BOCH Current.tif","Bird: Boreal Chickadee","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BOGU Current.tif","Bird: Bonaparte's Gull","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BOOW Current.tif","Bird: Boreal Owl","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BOWA Current.tif","Bird: Bohemian Waxwing","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BRBL Current.tif","Bird: Brewer's Blackbird","Blues","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Birds/Bird Species Distribution BRCR Current.tif","Bird: Brown Creeper","Blues","continuous","","km2*","FALSE","missing","",""
