"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance","Description","Notes"
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000004 Current.tif","Tree: Pacific Silver Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000005 Current.tif","Tree: Balsam fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000008 Current.tif","Tree: White Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000011 Current.tif","Tree: Grand Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000014 Current.tif","Tree: Subalpine Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000018 Current.tif","Tree: Noble Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000037 Current.tif","Tree: Bigleaf Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000040 Current.tif","Tree: Manitoba Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000052 Current.tif","Tree: Silver Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000053 Current.tif","Tree: Sugar Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000056 Current.tif","Tree: Mountain Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000091 Current.tif","Tree: Western Mountain Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000096 Current.tif","Tree: White Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000097 Current.tif","Tree: Red Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000100 Current.tif","Tree: Sitka Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000104 Current.tif","Tree: Saskatoonberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000105 Current.tif","Tree: Downy Serviceberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000112 Current.tif","Tree: Roundleaf Serviceberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000126 Current.tif","Tree: Prickly Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000172 Current.tif","Tree: Arctic Dwarf Birch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000262 Current.tif","Tree: Common Buttonbush","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000281 Current.tif","Tree: Poison-ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000310 Current.tif","Tree: Alternateleaf Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000324 Current.tif","Tree: Mountain Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000327 Current.tif","Tree: Gray Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000329 Current.tif","Tree: Red Osier Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000363 Current.tif","Tree: Fireberry Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000368 Current.tif","Tree: Douglas' Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000385 Current.tif","Tree: Fleshy Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000468 Current.tif","Tree: American Beech","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000490 Current.tif","Tree: Oregon Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000491 Current.tif","Tree: Black Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000494 Current.tif","Tree: Green Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000524 Current.tif","Tree: American Witchhazel","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000574 Current.tif","Tree: Winterberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1000596 Current.tif","Tree: Common Juniper","Greens","continuous","","km2*","FALSE","missing","",""
