Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Status,Provenance,Description,Notes
theme,Future climate space,yale_4/Birds/Bird Species Distribution ALFL rcp45 2071-2100.tif,Bird future: Alder Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMBI rcp45 2071-2100.tif,Bird future: American Bittern,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMCO rcp45 2071-2100.tif,Bird future: American Coot,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMCR rcp45 2071-2100.tif,Bird future: American Crow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMDI rcp45 2071-2100.tif,Bird future: American Dipper,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMGO rcp45 2071-2100.tif,Bird future: American Goldfinch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMKE rcp45 2071-2100.tif,Bird future: American Kestrel,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMPI rcp45 2071-2100.tif,Bird future: American Pipit,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMRE rcp45 2071-2100.tif,Bird future: American Redstart,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMRO rcp45 2071-2100.tif,Bird future: American Robin,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution AMWI rcp45 2071-2100.tif,Bird future: American Wigeon,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution ANHU rcp45 2071-2100.tif,Bird future: Anna's Hummingbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution ARTE rcp45 2071-2100.tif,Bird future: Arctic Tern,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution ATSP rcp45 2071-2100.tif,Bird future: American Tree Sparrow,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution ATTW rcp45 2071-2100.tif,Bird future: American Three-toed Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BAEA rcp45 2071-2100.tif,Bird future: Bald Eagle,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BAGO rcp45 2071-2100.tif,Bird future: Barrow's Goldeneye,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BAWW rcp45 2071-2100.tif,Bird future: Black-and-white Warbler,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BBMA rcp45 2071-2100.tif,Bird future: Black-billed Magpie,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BBWO rcp45 2071-2100.tif,Bird future: Black-backed Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BCCH rcp45 2071-2100.tif,Bird future: Black-capped Chickadee,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BCHU rcp45 2071-2100.tif,Bird future: Black-chinned Hummingbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BEKI rcp45 2071-2100.tif,Bird future: Belted Kingfisher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BEWR rcp45 2071-2100.tif,Bird future: Bewick's Wren,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BHCO rcp45 2071-2100.tif,Bird future: Brown-headed Cowbird,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BHGR rcp45 2071-2100.tif,Bird future: Black-headed Grosbeak,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BHVI rcp45 2071-2100.tif,Bird future: Blue-headed Vireo,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BLJA rcp45 2071-2100.tif,Bird future: Blue Jay,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BLOY rcp45 2071-2100.tif,Bird future: Black Oystercatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BLSW rcp45 2071-2100.tif,Bird future: Black Swift,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BLTE rcp45 2071-2100.tif,Bird future: Black Tern,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution BOCH rcp45 2071-2100.tif,Bird future: Boreal Chickadee,Blues,continuous,,km2*,FALSE,TRUE,missing,,
