"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000004 rcp45 2071-2100.tif","Tree future: Pacific Silver Fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000005 rcp45 2071-2100.tif","Tree future: Balsam fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000008 rcp45 2071-2100.tif","Tree future: White Fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000011 rcp45 2071-2100.tif","Tree future: Grand Fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000014 rcp45 2071-2100.tif","Tree future: Subalpine Fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000018 rcp45 2071-2100.tif","Tree future: Noble Fir","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000028 rcp45 2071-2100.tif","Tree future: Western Mountain Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000037 rcp45 2071-2100.tif","Tree future: Bigleaf Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000040 rcp45 2071-2100.tif","Tree future: Manitoba Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000041 rcp45 2071-2100.tif","Tree future: Black Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000045 rcp45 2071-2100.tif","Tree future: Striped Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000050 rcp45 2071-2100.tif","Tree future: Red Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000052 rcp45 2071-2100.tif","Tree future: Silver Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000053 rcp45 2071-2100.tif","Tree future: Sugar Maple","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000072 rcp45 2071-2100.tif","Tree future: Ohio Buckeye","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000091 rcp45 2071-2100.tif","Tree future: Western Mountain Alder","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000096 rcp45 2071-2100.tif","Tree future: White Alder","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000097 rcp45 2071-2100.tif","Tree future: Red Alder","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000099 rcp45 2071-2100.tif","Tree future: Smooth Alder","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000100 rcp45 2071-2100.tif","Tree future: Sitka Alder","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000105 rcp45 2071-2100.tif","Tree future: Downy Serviceberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000112 rcp45 2071-2100.tif","Tree future: Roundleaf Serviceberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000126 rcp45 2071-2100.tif","Tree future: Prickly Ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000131 rcp45 2071-2100.tif","Tree future: Pacific Arbutus","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000141 rcp45 2071-2100.tif","Tree future: Pawpaw","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000170 rcp45 2071-2100.tif","Tree future: Sweet Birch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000172 rcp45 2071-2100.tif","Tree future: Arctic Dwarf Birch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000174 rcp45 2071-2100.tif","Tree future: River Birch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000176 rcp45 2071-2100.tif","Tree future: White Birch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000182 rcp45 2071-2100.tif","Tree future: Gray Birch","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000202 rcp45 2071-2100.tif","Tree future: California incense-cedar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000223 rcp45 2071-2100.tif","Tree future: Blue Beech","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000230 rcp45 2071-2100.tif","Tree future: Bitternut Hickory","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000233 rcp45 2071-2100.tif","Tree future: Shellbark Hickory","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000235 rcp45 2071-2100.tif","Tree future: Mockernut Hickory","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000238 rcp45 2071-2100.tif","Tree future: American Chestnut","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000240 rcp45 2071-2100.tif","Tree future: Allegheny chinkapin","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000242 rcp45 2071-2100.tif","Tree future: Southern Catalpa","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000247 rcp45 2071-2100.tif","Tree future: Northern Catalpa","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000259 rcp45 2071-2100.tif","Tree future: Northern Hackberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000260 rcp45 2071-2100.tif","Tree future: Dwarf Hackberry","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000262 rcp45 2071-2100.tif","Tree future: Common Buttonbush","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000266 rcp45 2071-2100.tif","Tree future: Eastern Redbud","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000273 rcp45 2071-2100.tif","Tree future: Atlantic White-cedar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000274 rcp45 2071-2100.tif","Tree future: Port Orford Cedar","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000281 rcp45 2071-2100.tif","Tree future: Poison-ash","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000310 rcp45 2071-2100.tif","Tree future: Alternateleaf Dogwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000315 rcp45 2071-2100.tif","Tree future: Flowering Dogwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000324 rcp45 2071-2100.tif","Tree future: Mountain Dogwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000327 rcp45 2071-2100.tif","Tree future: Gray Dogwood","Greens","continuous","","km2*","FALSE","missing"
"theme","Future climate space","yale_4/Trees/Tree Specie Distribution 1000329 rcp45 2071-2100.tif","Tree future: Red Osier Dogwood","Greens","continuous","","km2*","FALSE","missing"
